                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.78661,                 1.6842,                0.46464,                 1.0696,                0.84414,                0.80986,                 0.8898,                0.59933,                0.85564,                0.81394,                0.88407,                0.51922,                 1.1565,                 2.2254,                0.70863,                 1.4067,              0.0011486,              0.0011486,              0.0011486
                     46,                0.78785,                 1.7385,                0.46356,                 1.0449,                0.87547,                0.82746,                0.89537,                0.61317,                0.87547,                0.82746,                0.88303,                0.53225,                   1.13,                 2.1791,                0.68125,                 1.3834,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.8055,                 1.7771,                0.47898,                 1.0345,                0.84828,                0.82685,                0.90549,                0.61727,                0.85319,                 0.8169,                0.89225,                0.55131,                 1.1396,                 2.0957,                 0.6728,                 1.4022,               0.001109,               0.001109,               0.001109
                     48,                0.79545,                 1.6827,                0.47206,                 1.0631,                0.87737,                0.77465,                0.88804,                0.61384,                 0.8584,                0.82042,                0.90482,                0.55731,                 1.1482,                 2.1093,                0.67619,                 1.4098,              0.0010892,              0.0010892,              0.0010892
                     49,                0.81289,                 1.7746,                0.47489,                 1.0626,                0.88261,                0.77113,                0.88567,                0.61423,                0.89334,                0.77817,                0.90359,                 0.5402,                 1.1661,                 2.1205,                0.69253,                 1.4152,              0.0010694,              0.0010694,              0.0010694
                     50,                0.73503,                  1.653,                0.43598,                 1.0229,                0.84777,                0.80986,                0.89646,                0.62253,                0.85696,                0.78056,                0.89137,                0.53863,                 1.1346,                 2.0844,                0.69287,                  1.368,              0.0010496,              0.0010496,              0.0010496
                     51,                0.78445,                 1.6697,                0.45462,                 1.0382,                0.81563,                0.83099,                0.88775,                0.61944,                0.80858,                0.85915,                0.90339,                0.55196,                 1.1027,                 2.0906,                0.65562,                 1.3539,              0.0010298,              0.0010298,              0.0010298
                     52,                0.76694,                 1.6663,                  0.452,                  1.034,                0.81331,                0.84371,                0.89122,                0.62262,                 0.8209,                0.85537,                0.89829,                0.54735,                 1.1142,                 2.1148,                 0.6619,                 1.3596,                0.00101,                0.00101,                0.00101
                     53,                0.77379,                 1.6796,                0.44652,                 1.0204,                 0.8315,                0.83405,                0.89543,                0.61126,                0.82408,                0.83451,                0.88669,                0.52883,                 1.1382,                  2.178,                0.68812,                 1.3755,              0.0009902,              0.0009902,              0.0009902
                     54,                0.76553,                  1.644,                0.44308,                 1.0392,                0.82282,                0.84155,                0.90095,                0.62525,                0.81249,                0.83099,                0.89073,                0.53684,                 1.1346,                 2.1207,                0.67743,                 1.3663,              0.0009704,              0.0009704,              0.0009704
